Dataset,Workers,Vectorized runtime,Non vectorized runtime,Standard deviation vectorized HPDBSCAN,Standard deviation non vectorized HPDBSCAN
Bremen,1,6269.811826,13331.08811,16.79659663,29.78224995
Bremen,32,234.893291,475.6819654,0.313241718,1.11283973
Bremen,64,133.7152008,260.246466,0.3819549924,0.6507387052
Bremen,96,99.5794064,183.3566016,0.2593408352,0.5646677035
Bremen,128,77.9812316,141.543904,0.5573773219,0.3820233515
Bremen,160,69.9276936,120.3614686,0.2606950444,0.2519209504
Bremen,192,68.4979992,109.5591082,0.4333145313,0.343406257
Bremen,224,59.9957294,95.6186626,0.3688062048,0.2452961778
Bremen,256,57.3251214,87.9793618,0.3129982267,0.3889104406
Bremen,288,53.8142404,81.3051724,0.3623580287,0.4403716539
Bremen,320,49.6230438,73.8505966,0.5646372428,0.4306404787
Bremen,352,48.6481128,70.0214122,0.6220986505,0.249245225
Bremen,384,50.7637848,68.9603754,1.03427579,0.4911783367
Bremen,416,49.3461394,65.2883154,1.062754187,0.1636213929
Bremen,448,48.8543482,60.8393116,1.65423453,0.1013908573
Bremen,480,47.8344222,58.6101788,1.192702764,0.207886753
Bremen,512,47.7058018,55.4931068,2.791314265,0.1242919107
Bremen,544,47.6613628,54.1618584,4.541841281,0.2264048718
Household,1,8452.645545,22908.17565,168.9819076,63.75101422
Household,32,336.7781448,830.1382206,0.3102308842,1.004045863
Household,64,179.5036626,430.8030888,0.9359267538,1.256375099
Household,96,125.2748818,294.7194176,0.4876038992,0.2711704179
Household,128,95.876351,227.55065,0.5593023951,0.2098744457
Household,160,80.813391,186.924141,0.8299461533,1.210290545
Household,192,68.6674716,157.3936616,0.3101623479,0.4066635833
Household,224,58.3837174,134.6571598,0.1445708508,0.2380855837
Household,256,52.8277654,118.5803104,0.3524000809,0.09269788629
Household,288,47.9017592,108.2866094,0.3610190855,0.1570907705
Household,320,44.6083174,99.7836464,0.3561380174,0.1735703121
Household,352,41.3611266,93.200571,0.1530181523,0.1189174095
Household,384,39.0803202,86.2948072,0.1860726996,0.178649549
Household,416,36.955151,80.6224246,0.2514065752,0.103510607
Household,448,35.5989028,76.0801444,0.4641265811,0.1910364004
Household,480,33.8260584,71.233629,0.08674447348,0.0935592992
Household,512,32.3773436,67.18885,0.1622686454,0.10095506
Household,544,31.3105268,64.799699,0.05465760064,0.09755632479
Bridge,1,4477.3804104,4221.2088434,0.0,0.0
Bridge,32,2026.8229724,2039.751703,0.0,0.0
Bridge,64,1689.8897606000005,1866.268604,0.0,0.0
Bridge,96,1536.2918968,1692.9432418,0.0,0.0
Bridge,128,1488.4284434,1597.5478838,0.0,0.0
Bridge,160,1422.9097254,1498.6173050000002,0.0,0.0
Bridge,192,1326.093945,1446.566764,0.0,0.0
Bridge,224,1365.8280556,1406.3220662,0.0,0.0
Bridge,256,1278.6080008,1420.0052840000003,0.0,0.0
Bridge,288,1345.3631004,1377.8263266,0.0,0.0
Bridge,320,1315.923326,1322.3843765999998,0.0,0.0
Bridge,352,1323.9779932,1351.9628404,0.0,0.0
Bridge,384,1243.2211991999998,1347.5625326,0.0,0.0
Bridge,416,1252.0568096,1299.8217118000002,0.0,0.0
Bridge,448,1228.9694198000002,1321.1618034,0.0,0.0
Bridge,480,1208.280134,1323.2815836,0.0,0.0
Bridge,512,1213.016271,1323.6060004,0.0,0.0
Bridge,544,1248.2040856,1347.7442099999998,0.0,0.0
