Dataset,Workers,Non vectorized runtime,Vectorized runtime,Standard deviation non vectorized HPDBSCAN,Standard deviation vectorized HPDBSCAN
Bridge,1,4221.2088434,4477.3804104,0.0,0.0
Bridge,2,2805.2596692,2185.8106548,0.0,0.0
Bridge,4,2648.1020882000003,1130.0888438000002,0.0,0.0
Bridge,6,1802.0511712,774.2428995999999,0.0,0.0
Bridge,8,1714.5782446,537.4347577999999,0.0,0.0
Bridge,12,1564.0761344,365.288627,0.0,0.0
Bridge,16,1489.2748511999998,279.9501518,0.0,0.0
Bridge,20,1663.8553808,233.3395638,0.0,0.0
Bridge,24,1869.8422308,197.5530252,0.0,0.0
Bridge,28,1577.6523659999998,175.5917888,0.0,0.0
Bridge,32,1546.7902840000002,158.2476062,0.0,0.0
Bridge,36,1810.590898,138.657773,0.0,0.0
Bridge,40,1577.2119858,129.3961278,0.0,0.0
Bridge,44,1508.2028896,120.2652472,0.0,0.0
Bridge,48,1499.9087042,112.8859882,0.0,0.0
Bremen,1,13331.08811,6269.811826,29.78224995,16.79659663
Bremen,2,7460.20256,3367.456288,100.4054874,25.3295259
Bremen,4,4052.647564,1781.650384,28.74433471,6.300919454
Bremen,6,2882.128237,1238.154965,26.21248317,6.002876976
Bremen,8,2249.618516,962.9792012,10.57969361,2.19559406
Bremen,12,1600.84009,693.6167032,4.352278221,2.894646287
Bremen,16,1267.620672,561.5471382,4.078521391,4.851466037
Bremen,20,1067.834348,476.3319192,2.266993992,3.224658774
Bremen,24,933.61012,418.6867782,6.184957677,1.604562162
Bremen,28,834.1256316,384.2233712,4.053266892,1.558480554
Bremen,32,764.1549424,351.0311644,2.931436565,3.976497773
Bremen,36,703.1153754,331.5254322,3.37521257,3.989712478
Bremen,40,655.572592,314.1335586,3.17888623,4.835258281
Bremen,44,612.6234358,296.0155924,1.908616911,3.083594328
Bremen,48,582.022547,288.5770828,7.689570853,4.342941199
Household,1,22908.17565,8452.645545,63.75101422,168.9819076
Household,2,11759.17037,4363.476808,47.63874522,47.52844105
Household,4,5933.639652,2213.093185,2.083836726,11.53966513
Household,6,3977.9696,1506.776043,6.488353584,7.523879235
Household,8,3000.875325,1178.93532,4.564957032,1.415207933
Household,12,2004.918988,797.2798816,1.223497516,1.45777832
Household,16,1511.562422,606.6458262,0.9778073875,1.983085032
Household,20,1215.239567,491.5407694,0.6204930871,1.353060267
Household,24,1018.097211,414.3865084,0.823745016,0.4596622889
Household,28,876.396948,360.1342164,0.6638324105,1.301357482
Household,32,770.8289502,319.4676214,0.7889631009,0.796649305
Household,36,688.5077756,287.123334,1.081394305,0.5050738284
Household,40,621.8328184,262.615492,1.079734971,0.3528076893
Household,44,568.6971704,240.8843998,1.580044653,0.5007853922
Household,48,523.6039066,223.763984,1.140895782,0.601979711
